 Offset(V)  Session     WindowStation          Atom  RefCount    HIndex     Pinned   Name
0x17930da8 ---------- ------------------     0xc192     4         402         0      C:\WINDOWS\system32\SHDOCVW.dll
0x17930da8 ---------- ------------------     0xc023     1          35         1      DDEMLUnicodeClient
0x17930da8 ---------- ------------------     0xc042     72         66         0      SysTreeView32
0x17930da8 ---------- ------------------     0xc05e     28         94         0      6.0.2600.5512!SysIPAddress32
0x17930da8 ---------- ------------------     0xc090     2         144         0      SAGEWINDOWCLASS
0x17930da8 ---------- ------------------     0xc199     2         409         0      Auto-Suggest Dropdown
0x17930da8 ---------- ------------------     0xc19c     2         412         0      CtrlNotifySink
0x17930da8 ---------- ------------------     0xc009     1          9          1      DataObject
0x17930da8 ---------- ------------------     0xc028     1          40         1      SysICS
0x17930da8 ---------- ------------------     0xc03d     72         61         0      tooltips_class32
0x17930da8 ---------- ------------------     0xc046     72         70         0      msctls_hotkey32
0x17930da8 ---------- ------------------     0xc048     72         72         0      SysMonthCal32
0x17930da8 ---------- ------------------     0xc049     72         73         0      SysDateTimePick32
0x17930da8 ---------- ------------------     0xc103     3         259         0      C:\WINDOWS\system32\stobject.dll
0x17930da8 ---------- ------------------     0xc121     2         289         0      c:\windows\system32\tapisrv.dll
0x17930da8 ---------- ------------------     0xc14c     2         332         0      text/scriptlet
0x17930da8 ---------- ------------------     0xc14f     1         335         0      WM_IDENTITY_CHANGED
0x17930da8 ---------- ------------------     0xc15e     1         350         0      Outlook Express Shortcut
0x17930da8 ---------- ------------------     0xc163     2         355         0      Outlook Express Outlook Bar Frame
0x17930da8 ---------- ------------------     0xc032     1          50         1      ACTIVATESHELLWINDOW
0x17930da8 ---------- ------------------     0xc04a     72         74         0      ComboBoxEx32
0x17930da8 ---------- ------------------     0xc062     28         98         0      6.0.2600.5512!Static
0x17930da8 ---------- ------------------     0xc070     18        112         0      commdlg_ShareViolation
0x17930da8 ---------- ------------------     0xc089     4         137         0      Link Window
0x17930da8 ---------- ------------------     0xc093     6         147         0      SysCredential
0x17930da8 ---------- ------------------     0xc09f     2         159         0      TrayClockWClass
0x17930da8 ---------- ------------------     0xc0f7     2         247         0      AvgRefreshApplicationIcons
0x17930da8 ---------- ------------------     0xc111     2         273         0      Connections Tray
0x17930da8 ---------- ------------------     0xc135     19        309         0      image/gif
0x17930da8 ---------- ------------------     0xc139     3         313         0      image/x-png
0x17930da8 ---------- ------------------     0xc15f     2         351         0      Outlook Express Browser Class
0x17930da8 ---------- ------------------     0xc187     2         391         0      ATH_Note
0x17930da8 ---------- ------------------     0xc039     1          57         1      FlashWState
0x17930da8 ---------- ------------------     0xc055     28         85         0      6.0.2600.5512!SysTreeView32
0x17930da8 ---------- ------------------     0xc07a     24        122         0      MSCTFIME Composition
0x17930da8 ---------- ------------------     0xc027     1          39         1      SysCH
0x17930da8 ---------- ------------------     0xc050     28         80         0      6.0.2600.5512!tooltips_class32
0x17930da8 ---------- ------------------     0xc059     28         89         0      6.0.2600.5512!msctls_hotkey32
0x17930da8 ---------- ------------------     0xc05b     28         91         0      6.0.2600.5512!SysMonthCal32
0x17930da8 ---------- ------------------     0xc05c     28         92         0      6.0.2600.5512!SysDateTimePick32
0x17930da8 ---------- ------------------     0xc07f     24        127         0      MSIMEDocumentFeed
