Pid      Process              Base       InLoad InInit InMem MappedPath
    1052 svchost.exe          0x73d20000 True   True   True  \WINDOWS\system32\seclogon.dll
    1052 svchost.exe          0x76f20000 True   True   True  \WINDOWS\system32\dnsapi.dll
    1052 svchost.exe          0x76b40000 True   True   True  \WINDOWS\system32\winmm.dll
    1052 svchost.exe          0x75150000 True   True   True  \WINDOWS\system32\cabinet.dll
    1052 svchost.exe          0x5ad70000 True   True   True  \WINDOWS\system32\uxtheme.dll
    1052 svchost.exe          0x745b0000 True   True   True  \WINDOWS\system32\eappcfg.dll
    1052 svchost.exe          0x76bd0000 True   True   True  \WINDOWS\system32\raschap.dll
    1052 svchost.exe          0x76400000 True   True   True  \WINDOWS\system32\netshell.dll
    1052 svchost.exe          0x5f740000 True   True   True  \WINDOWS\system32\wbem\ncprov.dll
    1052 svchost.exe          0x5b860000 True   True   True  \WINDOWS\system32\netapi32.dll
    1052 svchost.exe          0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
    1052 svchost.exe          0x71a90000 True   True   True  \WINDOWS\system32\wshtcpip.dll
    1052 svchost.exe          0x4c0a0000 True   True   True  \WINDOWS\system32\wscsvc.dll
    1052 svchost.exe          0x606b0000 True   True   True  \WINDOWS\system32\esent.dll
    1052 svchost.exe          0x57cc0000 True   True   True  \WINDOWS\system32\unimdm.tsp
    1052 svchost.exe          0x722d0000 True   True   True  \WINDOWS\system32\sens.dll
    1052 svchost.exe          0x6fb10000 True   True   True  \WINDOWS\system32\catsrvut.dll
    1052 svchost.exe          0x77120000 True   True   True  \WINDOWS\system32\oleaut32.dll
    1052 svchost.exe          0x57d40000 True   True   True  \WINDOWS\system32\kmddsp.tsp
    1052 svchost.exe          0x76f50000 True   True   True  \WINDOWS\system32\wtsapi32.dll
    1052 svchost.exe          0x751a0000 True   True   True  \WINDOWS\system32\srsvc.dll
    1052 svchost.exe          0x76fc0000 True   True   True  \WINDOWS\system32\rasadhlp.dll
    1052 svchost.exe          0x723d0000 True   True   True  \WINDOWS\system32\winscard.dll
    1052 svchost.exe          0x76b70000 True   True   True  \WINDOWS\system32\rastls.dll
    1052 svchost.exe          0x57d50000 True   True   True  \WINDOWS\system32\ipconf.tsp
    1052 svchost.exe          0x76e40000 True   True   True  \WINDOWS\system32\wkssvc.dll
    1052 svchost.exe          0x75070000 True   True   True  \WINDOWS\system32\trkwks.dll
    1052 svchost.exe          0x76c90000 True   True   True  \WINDOWS\system32\imagehlp.dll
    1052 svchost.exe          0x708b0000 True   True   True  \WINDOWS\system32\audiosrv.dll
    1052 svchost.exe          0x754d0000 True   True   True  \WINDOWS\system32\cryptui.dll
    1052 svchost.exe          0x5d090000 True   True   True  \WINDOWS\system32\comctl32.dll
    1052 svchost.exe          0x72ae0000 True   True   True  \WINDOWS\system32\rasqec.dll
    1052 svchost.exe          0x750f0000 True   True   True  \WINDOWS\system32\mtxclu.dll
    1052 svchost.exe          0x76d10000 True   True   True  \WINDOWS\system32\clusapi.dll
    1052 svchost.exe          0x77cc0000 True   True   True  \WINDOWS\system32\activeds.dll
    1052 svchost.exe          0x74f40000 True   True   True  \WINDOWS\pchealth\helpctr\binaries\pchsvc.dll
    1052 svchost.exe          0x7d1e0000 True   True   True  \WINDOWS\system32\msi.dll
    1052 svchost.exe          0x76d30000 True   True   True  \WINDOWS\system32\wmi.dll
    1052 svchost.exe          0x77be0000 True   True   True  \WINDOWS\system32\msacm32.dll
    1052 svchost.exe          0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
    1052 svchost.exe          0x76e10000 True   True   True  \WINDOWS\system32\adsldpc.dll
    1052 svchost.exe          0x76360000 True   True   True  \WINDOWS\system32\winsta.dll
    1052 svchost.exe          0x50040000 True   True   True  \WINDOWS\system32\wuaueng.dll
    1052 svchost.exe          0x76c60000 True   True   True  \WINDOWS\system32\sfc_os.dll
    1052 svchost.exe          0x6f880000 True   True   True  \WINDOWS\AppPatch\AcGenral.dll
    1052 svchost.exe          0x76bf0000 True   True   True  \WINDOWS\system32\psapi.dll
    1052 svchost.exe          0x71ab0000 True   True   True  \WINDOWS\system32\ws2_32.dll
    1052 svchost.exe          0x75880000 True   True   True  \WINDOWS\system32\rastapi.dll
    1052 svchost.exe          0x736d0000 True   True   True  \WINDOWS\system32\dot3dlg.dll
    1052 svchost.exe          0x76ce0000 True   True   True  \WINDOWS\system32\cryptsvc.dll
    1052 svchost.exe          0x776c0000 True   True   True  \WINDOWS\system32\authz.dll
    1052 svchost.exe          0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
    1052 svchost.exe          0x77f10000 True   True   True  \WINDOWS\system32\gdi32.dll
    1052 svchost.exe          0x76d40000 True   True   True  \WINDOWS\system32\mprapi.dll
    1052 svchost.exe          0x57d60000 True   True   True  \WINDOWS\system32\hidphone.tsp
